"","ID","X..of.Rep.","UT.Date...Time","Local.Date...Time","Countries","States","D..Sound","C..Sound","Frag"
"2","Event 5959-2018","1","2018-12-31 23:04 UT","2019-01-01 00:04								CET","SE","Norrbottens län","1 no","1 no","1 no"
"3","Event 5958-2018","1","2018-12-31 22:20 UT","2018-12-31 17:20								EST","CA","Ontario","n/a","n/a","1 no"
"4","Event 5935-2018","2","2018-12-31 21:30 UT","2018-12-31 21:30								GMT","GB","England","2 no","2 no","2 no"
"5","Event 5932-2018","46","2018-12-31 14:52 UT","2018-12-31 06:52								PST","US","CA, NV, OR","40 no","1 yes 
											
																															
												 41 no","3 yes 
											
																															
												 27 no"
"6","Event 5957-2018","1","2018-12-31 13:40 UT","2018-12-31 19:10								IST","IN","Tamil Nadu","n/a","1 no","1 no"
"7","Event 5956-2018","1","2018-12-31 09:29 UT","2018-12-31 04:29								EST","US","OH","n/a","n/a","n/a"
"8","Event 5955-2018","1","2018-12-31 08:30 UT","2018-12-31 03:30								CST","CU","Matanzas","1 no","1 no","n/a"
"9","Event 5934-2018","5","2018-12-31 07:31 UT","2018-12-30 23:31								PST","US","CA","4 no","4 no","4 no"
"10","Event 5954-2018","1","2018-12-31 04:50 UT","2018-12-30 20:50								PST","US","CA","1 no","1 no","1 no"
"11","Event 5953-2018","1","2018-12-31 04:15 UT","2018-12-30 20:15								PST","US","WA","1 no","1 no","1 no"
"12","Event 5952-2018","1","2018-12-31 04:00 UT","2018-12-30 23:00								EST","US","MD","1 no","1 no","1 no"
"13","Event 5951-2018","1","2018-12-31 03:45 UT","2018-12-30 20:45								MST","US","AZ","1 no","n/a","n/a"
"14","Event 5852-2018","1","2018-12-31 01:10 UT","2018-12-30 22:10								-3 time zones","BR","Paraíba","1 no","1 no","1 no"
"15","Event 5950-2018","1","2018-12-31 00:18 UT","2018-12-30 19:18								EST","US","OH","1 no","1 no","n/a"
"16","Event 5949-2018","1","2018-12-30 20:26 UT","2018-12-30 20:26								GMT","GB","England","1 no","1 no","1 no"
"17","Event 5948-2018","1","2018-12-30 14:45 UT","2018-12-30 23:45								KST","KR","Gyeonggi-do","1 no","1 no","1 no"
"18","Event 5947-2018","1","2018-12-30 12:20 UT","2018-12-30 04:20								PST","US","CA","1 no","1 no","1 no"
"19","Event 5946-2018","1","2018-12-30 12:00 UT","2018-12-30 07:00								EST","US","WV","1 no","1 no","1 no"
"20","Event 5945-2018","1","2018-12-30 11:30 UT","2018-12-30 05:30								CST","US","NE","1 no","1 no","1 no"
"21","Event 5933-2018","3","2018-12-30 11:09 UT","2018-12-30 04:09								MST","US","AZ","2 no","2 no","1 yes 
											
																															
												 2 no"
"22","Event 5944-2018","1","2018-12-30 10:10 UT","2018-12-30 02:10								PST","US","CA","1 no","n/a","1 yes"
"23","Event 5943-2018","1","2018-12-30 09:34 UT","2018-12-30 03:34								CST","US","WI","1 no","1 no","1 no"
"24","Event 5811-2018","5","2018-12-30 06:58 UT","2018-12-29 22:58								PST","US","CA","3 no","2 no","1 yes 
											
																															
												 4 no"
"25","Event 5942-2018","1","2018-12-30 05:25 UT","2018-12-30 00:25								EST","US","RI","1 no","1 no","n/a"
"26","Event 5941-2018","1","2018-12-30 04:00 UT","2018-12-29 20:00								PST","US","WA","1 no","1 no","n/a"
"27","Event 5812-2018","43","2018-12-30 01:49 UT","2018-12-29 17:49								PST","US",", CA","29 no","29 no","1 yes 
											
																															
												 26 no"
"28","Event 5929-2018","7","2018-12-30 00:39 UT","2018-12-29 19:39								EST","US","FL","1 yes											
																															
												 5 no","6 no","3 yes 
											
																															
												 3 no"
"29","Event 5813-2018","43","2018-12-29 20:22 UT","2018-12-29 20:22								GMT","GB",", England","36 no","1 yes 
											
																															
												 35 no","5 yes 
											
																															
												 29 no"
"30","Event 5928-2018","1","2018-12-29 19:00 UT","2018-12-29 19:00								GMT","GB","England","1 no","1 no","1 no"
"31","Event 5927-2018","1","2018-12-29 16:05 UT","2018-12-29 21:35								IST","IN","Gujarat","n/a","1 no","n/a"
